ratio,loss,penalty,n_splits,tol,score
0.975,log,elasticnet,100,0.005,0.5992087912087912
0.975,log,elasticnet,100,0.007,0.5946373626373627
0.975,log,elasticnet,100,0.01,0.5977582417582419
0.975,log,elasticnet,150,0.001,0.5944175824175824
0.975,log,elasticnet,150,0.003,0.5895824175824177
0.975,log,elasticnet,150,0.005,0.5869890109890109
0.975,log,elasticnet,150,0.007,0.6013626373626373
0.975,log,elasticnet,150,0.01,0.5976263736263736
0.975,log,none,50,0.001,0.5892307692307692
0.975,log,none,50,0.003,0.6146813186813187
0.975,log,none,50,0.005,0.6114285714285714
0.975,log,none,50,0.007,0.6054065934065934
0.975,log,none,50,0.01,0.6095824175824176
0.975,log,none,100,0.001,0.5848791208791209
0.975,log,none,100,0.003,0.6125274725274725
0.975,log,none,100,0.005,0.6025934065934065
0.975,log,none,100,0.007,0.6114725274725274
0.975,log,none,100,0.01,0.6143296703296702
0.975,log,none,150,0.001,0.593978021978022
0.975,log,none,150,0.003,0.5981538461538463
0.975,log,none,150,0.005,0.6035604395604396
0.975,log,none,150,0.007,0.5911648351648352
0.975,log,none,150,0.01,0.5966153846153845
0.975,log,l1,50,0.001,0.5970989010989012
0.975,log,l1,50,0.003,0.5930989010989011
0.975,log,l1,50,0.005,0.596043956043956
0.975,log,l1,50,0.007,0.5914725274725274
0.975,log,l1,50,0.01,0.5931428571428572
0.975,log,l1,100,0.001,0.6027252747252747
0.975,log,l1,100,0.003,0.5985934065934065
0.975,log,l1,100,0.005,0.599032967032967
0.975,log,l1,100,0.007,0.5856263736263736
0.975,log,l1,100,0.01,0.6114725274725276
0.975,log,l1,150,0.001,0.5932307692307692
0.975,log,l1,150,0.003,0.5897582417582419
0.975,log,l1,150,0.005,0.5956923076923077
0.975,log,l1,150,0.007,0.5974945054945054
0.975,log,l1,150,0.01,0.5887912087912086
0.975,modified_huber,l2,50,0.001,0.5896263736263736
0.975,modified_huber,l2,50,0.003,0.5833846153846153
0.975,modified_huber,l2,50,0.005,0.595956043956044
0.975,modified_huber,l2,50,0.007,0.6031648351648352
0.975,modified_huber,l2,50,0.01,0.6026813186813188
0.975,modified_huber,l2,100,0.001,0.5829010989010989
0.975,modified_huber,l2,100,0.003,0.5950769230769231
0.975,modified_huber,l2,100,0.005,0.605934065934066
0.975,modified_huber,l2,100,0.007,0.5904175824175825
0.975,modified_huber,l2,100,0.01,0.592
0.975,modified_huber,l2,150,0.001,0.5878241758241758
0.975,modified_huber,l2,150,0.003,0.5903736263736263
0.975,modified_huber,l2,150,0.005,0.6101538461538462
0.975,modified_huber,l2,150,0.007,0.5888791208791209
0.975,modified_huber,l2,150,0.01,0.5872087912087912
0.975,modified_huber,elasticnet,50,0.001,0.5967912087912087
0.975,modified_huber,elasticnet,50,0.003,0.596087912087912
0.975,modified_huber,elasticnet,50,0.005,0.5887912087912088
0.975,modified_huber,elasticnet,50,0.007,0.6007472527472527
0.975,modified_huber,elasticnet,50,0.01,0.5858461538461539
0.975,modified_huber,elasticnet,100,0.001,0.6051868131868131
0.975,modified_huber,elasticnet,100,0.003,0.5781978021978021
0.975,modified_huber,elasticnet,100,0.005,0.5914285714285714
0.975,modified_huber,elasticnet,100,0.007,0.6004395604395604
0.975,modified_huber,elasticnet,100,0.01,0.5944175824175824
0.975,modified_huber,elasticnet,150,0.001,0.5957802197802199
0.975,modified_huber,elasticnet,150,0.003,0.5826813186813187
0.975,modified_huber,elasticnet,150,0.005,0.5804835164835165
0.975,modified_huber,elasticnet,150,0.007,0.5865494505494505
0.975,modified_huber,elasticnet,150,0.01,0.579032967032967
0.975,modified_huber,none,50,0.001,0.595956043956044
0.975,modified_huber,none,50,0.003,0.5821098901098901
0.975,modified_huber,none,50,0.005,0.5977582417582418
0.975,modified_huber,none,50,0.007,0.5913846153846153
0.975,modified_huber,none,50,0.01,0.5914285714285714
0.975,modified_huber,none,100,0.001,0.6049670329670329
0.975,modified_huber,none,100,0.003,0.5932747252747252
0.975,modified_huber,none,100,0.005,0.5995164835164835
0.975,modified_huber,none,100,0.007,0.5959120879120879
0.975,modified_huber,none,100,0.01,0.5936263736263736
0.975,modified_huber,none,150,0.001,0.5963516483516484
0.975,modified_huber,none,150,0.003,0.6047912087912087
0.975,modified_huber,none,150,0.005,0.5964395604395605
0.975,modified_huber,none,150,0.007,0.6022857142857143
0.975,modified_huber,none,150,0.01,0.5946373626373627
0.975,modified_huber,l1,50,0.001,0.5985494505494506
0.975,modified_huber,l1,50,0.003,0.5909450549450549
0.975,modified_huber,l1,50,0.005,0.5982857142857142
0.975,modified_huber,l1,50,0.007,0.5835164835164834
0.975,modified_huber,l1,50,0.01,0.6054065934065935
0.975,modified_huber,l1,100,0.001,0.6025494505494505
0.975,modified_huber,l1,100,0.003,0.5884395604395605
0.975,modified_huber,l1,100,0.005,0.5905934065934065
0.975,modified_huber,l1,100,0.007,0.5918681318681319
0.975,modified_huber,l1,100,0.01,0.5887912087912088
0.975,modified_huber,l1,150,0.001,0.608175824175824
0.975,modified_huber,l1,150,0.003,0.61810989010989
0.975,modified_huber,l1,150,0.005,0.609934065934066
0.975,modified_huber,l1,150,0.007,0.6073846153846154
0.975,modified_huber,l1,150,0.01,0.5903736263736263
0.975,squared_hinge,l2,50,0.001,0.6035164835164835
0.975,squared_hinge,l2,50,0.003,0.5876043956043956
0.975,squared_hinge,l2,50,0.005,0.598065934065934
0.975,squared_hinge,l2,50,0.007,0.5927032967032966
0.975,squared_hinge,l2,50,0.01,0.5899340659340659
0.975,squared_hinge,l2,100,0.001,0.5835604395604396
0.975,squared_hinge,l2,100,0.003,0.5904615384615385
0.975,squared_hinge,l2,100,0.005,0.5938021978021978
0.975,squared_hinge,l2,100,0.007,0.5962197802197803
0.975,squared_hinge,l2,100,0.01,0.5692747252747252
0.975,squared_hinge,l2,150,0.001,0.5801318681318681
0.975,squared_hinge,l2,150,0.003,0.5803076923076922
0.975,squared_hinge,l2,150,0.005,0.5865054945054945
0.975,squared_hinge,l2,150,0.007,0.5891428571428572
0.975,squared_hinge,l2,150,0.01,0.5989010989010989
0.975,squared_hinge,elasticnet,50,0.001,0.5934065934065934
0.975,squared_hinge,elasticnet,50,0.003,0.5937142857142857
0.975,squared_hinge,elasticnet,50,0.005,0.5999120879120879
0.975,squared_hinge,elasticnet,50,0.007,0.5885714285714285
0.975,squared_hinge,elasticnet,50,0.01,0.5988131868131867
0.975,squared_hinge,elasticnet,100,0.001,0.6001318681318683
0.975,squared_hinge,elasticnet,100,0.003,0.5705054945054945
0.975,squared_hinge,elasticnet,100,0.005,0.5797802197802198
0.975,squared_hinge,elasticnet,100,0.007,0.6022857142857142
0.975,squared_hinge,elasticnet,100,0.01,0.5945054945054945
0.975,squared_hinge,elasticnet,150,0.001,0.5923516483516483
0.975,squared_hinge,elasticnet,150,0.003,0.6014945054945053
0.975,squared_hinge,elasticnet,150,0.005,0.5947692307692307
0.975,squared_hinge,elasticnet,150,0.007,0.594901098901099
0.975,squared_hinge,elasticnet,150,0.01,0.5858901098901098
0.975,squared_hinge,none,50,0.001,0.5854065934065934
0.975,squared_hinge,none,50,0.003,0.6025934065934067
0.975,squared_hinge,none,50,0.005,0.5963076923076922
